stcty,D_PctEst,EM_PctEst,F_PctEst,FB_PctEst,LEP_PctEst,LI_PctEst,OA_PctEst,RM_PctEst,Y_PctEst,msaname,Mean_IPD
06075,10.6,15.3,49,34.8,20.6,24.3,14.9,52.8,13.4,"SAN FRANCISCO, CA",18
06077,12.4,40.8,50.3,23.3,17.4,38.8,12,44.1,27.7,"STOCKTON-LODI, CA",22
06079,11.1,22.2,49.2,10.4,6.8,28.8,18.1,14.1,18.1,"SAN LUIS OBISPO-ATASCADERO-PASO ROBLES, CA",16
06081,8.4,24.9,50.7,34.7,18,18.6,15.1,47.9,21.3,"SAN FRANCISCO, CA",19
06083,9.6,44.8,49.9,23,17.6,36.1,14.3,25.3,22.4,"SANTA BARBARA-SANTA MARIA-LOMPOC, CA",19
06085,7.9,26.1,49.6,38.6,20.7,20.4,12.6,54.5,22.8,"SAN JOSE, CA",20
06087,10.5,33.3,50.4,18,13,30.8,14.2,22.7,19.9,"SANTA CRUZ-WATSONVILLE, CA",17
06089,17.8,9.6,51,5.3,2.7,39.1,19.4,13.1,21.7,"REDDING, CA",17
06095,12.3,25.8,50.3,20.1,11.4,27.3,14.2,47.3,22.7,"VALLEJO-FARIFIELD-NAPA, CA",19
06097,12,26.4,51,16.6,11,26.3,17.4,24.7,20.4,"SANTA ROSA, CA",18
06099,13.3,45,50.6,20.7,17,40.9,12.3,25.2,27.3,"MODESTO, CA",21
06101,13.8,30.2,50.2,22.7,16.3,42,14.6,29.7,26.3,"YUBA CITY, CA",20
06107,12.3,63.6,50,22.4,26.6,53.9,10.7,21.1,31.4,"VISALIA-TULARE-PORTERVILLE, CA",23
06111,10.9,42.2,50.5,22.5,15.3,26.7,14.1,20.1,23.9,"VENTURA, CA",19
06113,9.9,31.4,51.3,22.7,14,36.5,11.5,32.8,21.5,"YOLO, CA",19
06115,16.6,27.4,49,12.2,8.9,40,11.6,26.9,27.7,"YUBA CITY, CA",19
08001,10.7,39.3,49.6,15.3,11.5,31.9,9.6,17.1,27.6,"DENVER, CO",18
08005,9,18.9,50.7,14.9,8.8,24.9,12,28.1,24.3,"DENVER, CO",16
08013,8.3,13.8,49.8,10.8,4.9,24.7,12.6,11.4,19.9,"BOULDER-LONGMONT, CO",14
08014,8.3,12.1,50.3,9.8,4,14.6,12.5,13.9,24.1,"DENVER, CO",14
08031,9.6,30.5,50,15.8,10.5,33.2,11.2,23.1,20.4,"DENVER, CO",16
08035,6.5,8.3,50.2,7.2,2.3,9.5,10.4,10.3,27.8,"DENVER, CO",13
